start_date,end_date,AInfluenza,AcuteBronchitis,BodyTemperature,BraunThermoscan,BreakAFever,Bronchitis,ChestCold,ColdAndFlu,ColdOrFlu,ColdVersusFlu,ColdVsFlu,ContagiousFlu,CoughFever,CureFlu,CureTheFlu,DangerousFever,DoIHaveTheFlu,EarThermometer,EarlyFluSymptoms,Expectorant,ExposedToFlu,FeverCough,FeverFlu,FeverReducer,FightTheFlu,FluAndCold,FluAndFever,FluCare,FluChildren,FluComplications,FluContagiousPeriod,FluContagious,FluCough,FluDuration,FluFever,FluGerms,FluHeadache,FluHowLong,FluInChildren,FluIncubationPeriod,FluIncubation,FluLasts,FluLength,FluMedicine,FluOrCold,FluRecovery,FluRelief,FluRemedies,FluRemedy,FluReport,FluReports,FluSymptoms,FluTest,FluTreatment,FluTreatments,FluVersusCold,FluVsCold,GetOverTheFlu,GetRidOfTheFlu,HavingTheFlu,HighFever,HowLongContagious,HowLongDoesFluLast,HowLongDoesTheFluLast,HowLongFlu,HowLongIsFluContagious,HowLongIsTheFluContagious,HowLongIsTheFlu,HowToGetRidOfTheFlu,HowToTreatFlu,HowToTreatTheFlu,HumanTemperature,IHaveTheFlu,IncubationPeriodForFlu,IncubationPeriodForTheFlu,InfluenzaAAndB,InfluenzaA,InfluenzaContagious,InfluenzaIncubationPeriod,InfluenzaIncubation,InfluenzaSymptoms,InfluenzaTreatment,InfluenzaTypeA,IsFluContagious,LowBody,MedicineForFlu,MedicineForTheFlu,NormalBodyTemperature,NormalBody,Oscillococcinum,OverTheCounterFluMedicine,OverTheCounterFlu,PainfulCough,Pneumonia,RapidFlu,ReduceAFever,ReduceFever,RemediesForFlu,RemediesForTheFlu,RespiratoryFlu,Robitussin,SignsOfFlu,SignsOfTheFlu,SinusInfections,Sinus,StrepThroat,Strep,SymptomsOfBronchitis,SymptomsOfFlu,SymptomsOfInfluenza,SymptomsOfPneumonia,SymptomsOfTheFlu,TakingTemperature,Tessalon,TheFluVirus,TheFlu,Thermoscan,TreatFlu,TreatTheFlu,TreatingFlu,TreatingTheFlu,TreatmentForFlu,TreatmentForTheFlu,Tussin,Tussionex,TypeAInfluenza,UpperRespiratory,WalkingPneumonia,WhatToDoIfYouHaveTheFlu,FluVisits
2009-06-29,2009-07-05,36,20,43,27,11,22,16,7,3,8,4,5,15,3,5,18,2,29,7,36,21,15,15,19,13,7,22,9,5,3,8,5,16,12,15,10,15,6,4,7,8,10,9,7,3,13,16,9,12,4,2,6,6,8,6,8,4,5,9,7,43,11,8,3,6,3,3,4,10,12,13,37,5,5,6,7,36,6,12,7,8,13,30,3,52,4,8,33,45,7,14,11,10,33,8,27,19,6,6,9,22,6,4,27,44,36,43,15,6,8,19,4,26,23,3,3,34,6,5,4,16,6,13,25,34,30,25,24,15,180
2009-07-06,2009-07-12,25,19,40,31,10,21,11,6,8,8,7,6,13,3,1,19,5,35,12,21,16,13,15,18,7,6,20,7,4,4,7,6,14,17,15,13,16,7,4,8,8,10,6,9,8,8,10,7,7,3,3,6,5,7,7,8,7,4,7,5,38,9,7,4,7,3,2,5,5,18,7,46,7,6,10,8,25,5,7,6,11,15,27,4,53,6,5,26,36,5,6,7,19,33,5,23,14,3,6,6,21,6,6,26,42,34,40,12,5,7,18,4,23,23,4,3,25,12,9,13,16,7,8,27,32,27,28,29,9,115
2009-07-13,2009-07-19,24,30,45,20,12,20,20,6,6,8,4,6,11,3,2,17,8,29,9,24,7,11,13,13,7,6,20,9,5,7,9,6,13,16,13,5,14,7,5,6,6,10,7,7,6,10,9,6,6,3,3,7,7,7,6,8,4,9,6,9,38,12,7,4,7,3,2,4,4,10,9,32,8,5,5,8,24,2,10,8,9,11,25,5,56,8,7,34,45,9,6,7,19,32,11,15,17,7,6,13,19,5,7,28,43,32,39,15,6,6,14,4,30,18,4,3,23,8,11,12,16,6,9,24,28,25,25,25,9,132
2009-07-20,2009-07-26,23,19,40,15,10,19,12,7,10,15,3,5,14,3,2,14,2,18,9,18,17,14,12,18,4,7,14,8,5,5,8,5,13,7,12,14,16,6,3,8,8,10,4,8,10,14,7,7,9,5,2,6,8,7,5,15,3,9,6,5,39,9,7,5,6,2,3,5,6,8,7,28,4,7,6,8,23,5,10,10,7,10,26,2,53,10,6,30,40,8,8,6,12,32,20,23,12,7,11,6,18,6,4,27,44,30,35,15,5,6,16,4,22,18,4,3,13,5,6,7,8,5,12,21,26,26,29,24,13,109
2009-07-27,2009-08-02,27,21,44,20,11,19,17,8,10,15,6,5,11,3,5,17,5,28,12,30,13,11,15,14,6,8,23,11,7,7,9,5,14,15,15,16,23,7,6,7,8,9,5,10,10,16,10,8,8,3,4,7,7,8,9,15,6,7,6,5,40,9,6,4,7,4,2,4,4,9,5,38,8,7,4,11,27,2,8,8,7,16,21,4,49,5,5,40,47,10,9,8,9,34,17,19,14,8,7,10,20,7,6,28,43,30,36,12,6,6,14,5,33,17,6,4,23,8,10,6,8,8,12,33,29,21,27,30,9,120
2009-08-03,2009-08-09,28,23,39,8,6,18,13,8,7,8,4,4,8,2,4,21,6,30,12,32,20,8,16,13,13,8,15,10,6,7,5,4,10,12,16,5,18,7,8,6,6,10,5,7,7,16,16,10,7,6,2,7,8,8,6,8,4,9,5,5,37,10,6,4,7,2,6,5,6,6,5,27,8,5,15,7,28,2,5,6,6,19,13,3,56,5,9,27,36,8,9,10,9,33,18,13,14,4,7,9,19,5,6,24,42,31,38,12,5,7,13,5,31,19,4,3,19,6,4,8,8,9,16,18,30,13,26,26,17,115
2009-08-10,2009-08-16,29,22,41,35,10,17,15,7,10,8,6,5,12,6,6,21,6,26,15,23,5,12,14,9,6,7,22,11,7,9,8,5,16,10,14,19,20,6,5,5,6,38,9,13,10,13,10,16,12,5,2,7,11,11,3,7,6,6,5,3,32,10,6,3,6,4,3,6,6,10,10,39,7,7,6,10,29,5,8,6,6,14,21,4,52,17,8,31,43,16,17,15,9,33,11,25,13,11,14,7,20,7,4,27,44,29,37,16,7,8,13,6,23,20,5,4,33,9,7,11,8,11,10,28,32,21,17,25,13,123
2009-08-17,2009-08-23,29,20,43,32,9,20,20,10,13,22,9,5,14,4,3,14,8,37,14,25,21,14,19,12,8,10,22,16,8,10,10,4,16,24,19,5,26,8,7,5,7,19,6,9,13,10,15,10,10,7,4,8,10,10,8,22,9,4,10,3,41,8,8,4,8,3,3,4,11,9,8,31,8,6,5,8,29,4,6,3,7,20,13,4,52,12,5,34,44,13,8,8,12,33,19,14,15,10,9,9,19,9,10,27,45,34,40,18,7,8,14,5,33,20,5,5,37,10,7,5,8,9,10,24,29,13,23,27,14,205
2009-08-24,2009-08-30,27,19,52,27,7,22,16,13,16,19,8,8,14,5,4,20,11,40,26,26,12,14,24,10,17,13,26,27,16,10,8,8,22,17,24,26,30,12,13,9,9,9,17,13,16,13,22,19,15,8,4,15,15,12,14,19,8,14,12,10,40,9,11,8,12,3,4,10,11,13,17,48,9,9,12,16,27,4,15,11,11,27,29,5,50,12,6,49,51,16,9,13,21,36,26,22,16,15,19,13,20,17,13,27,46,33,38,18,15,9,18,13,39,19,10,9,37,11,14,15,15,13,18,26,43,29,27,26,17,454
2009-08-31,2009-09-06,34,28,59,38,12,25,18,20,19,12,17,12,16,6,5,27,16,46,28,38,34,16,31,14,15,20,34,40,22,16,16,12,23,29,31,33,35,20,14,13,13,24,26,17,19,31,19,17,19,12,11,20,20,18,19,12,17,20,15,16,40,13,18,12,20,8,5,13,9,23,21,58,21,13,15,20,34,4,14,11,12,34,38,9,56,16,16,56,60,22,26,22,13,40,24,24,21,19,14,20,25,23,22,31,48,35,43,17,20,10,17,17,46,26,15,12,47,20,13,27,25,20,34,35,38,38,37,32,14,628
2009-09-07,2009-09-13,27,32,66,49,18,28,23,27,19,27,26,13,23,8,8,22,26,51,36,42,31,23,38,22,40,27,35,48,23,21,13,13,35,34,38,35,37,23,20,14,16,28,22,28,19,30,22,26,27,10,8,23,21,21,24,27,26,9,22,12,43,13,24,17,23,6,4,14,25,41,33,73,29,16,25,25,27,11,15,18,18,36,41,11,68,24,18,61,68,24,19,17,18,42,38,37,20,21,16,21,29,29,22,37,50,38,42,27,21,12,24,19,39,25,14,13,48,35,32,27,38,20,32,42,44,41,40,34,25,687
2009-09-14,2009-09-20,33,34,73,53,20,33,23,28,24,32,35,20,24,7,9,42,22,66,41,35,28,24,48,15,18,28,49,48,31,23,24,20,39,44,48,52,47,28,29,22,21,35,32,28,24,37,31,29,36,11,8,25,26,22,19,32,35,20,28,20,49,17,30,21,28,10,9,17,27,32,40,77,33,20,25,20,33,6,21,16,23,36,42,12,79,27,26,70,73,35,23,20,17,49,49,29,21,28,15,24,34,29,27,37,54,43,47,29,24,31,24,23,37,32,20,15,47,30,37,25,29,22,34,30,50,42,47,36,34,821
2009-09-21,2009-09-27,41,38,77,39,15,38,29,36,36,25,43,21,27,8,16,35,31,50,62,56,42,27,50,19,24,36,55,57,42,24,46,21,48,55,50,47,49,31,41,35,30,43,37,31,36,42,42,30,31,15,8,27,28,22,15,25,43,28,18,24,51,20,30,16,31,11,10,19,20,22,27,88,34,30,30,22,41,7,16,17,25,35,56,15,83,25,20,65,76,48,21,26,19,52,33,31,25,32,25,20,40,30,28,48,56,42,48,43,27,17,31,24,55,34,20,16,49,27,25,36,43,26,34,35,53,56,45,44,45,1025
2009-09-28,2009-10-04,44,33,81,69,22,40,35,36,37,30,48,21,26,8,10,45,28,68,50,55,59,26,57,22,33,36,60,63,49,29,45,21,58,52,57,39,56,39,51,39,35,49,28,35,37,19,30,33,31,16,9,29,28,28,26,30,48,28,32,32,54,20,36,20,39,13,11,21,25,50,33,91,37,32,40,40,44,9,26,24,25,36,78,16,84,26,20,70,74,69,37,45,20,59,46,33,29,31,20,19,42,33,31,53,58,47,53,39,28,17,36,26,67,36,23,19,49,37,28,36,36,30,42,40,67,78,44,47,56,1338
2009-10-05,2009-10-11,51,51,77,46,24,43,35,43,49,41,52,31,34,10,10,54,40,56,62,53,78,34,66,26,52,42,75,75,67,52,56,31,57,59,66,60,61,44,54,45,39,52,44,41,49,37,32,38,47,14,9,31,37,32,34,41,52,44,31,36,61,23,42,25,44,17,14,31,30,32,39,93,58,39,38,35,51,6,16,18,31,40,77,25,85,34,29,64,75,67,33,49,31,65,51,31,35,37,17,24,39,37,35,49,60,47,52,45,30,21,40,28,62,38,25,24,64,38,44,35,64,33,51,45,64,77,45,53,58,1620
2009-10-12,2009-10-18,63,38,88,76,30,48,34,45,48,39,59,39,38,11,17,64,48,89,63,59,90,38,78,36,37,45,89,92,89,57,64,39,75,71,78,55,68,57,83,57,47,73,35,47,48,55,47,50,58,16,10,35,36,35,34,39,59,40,38,57,74,29,49,33,57,23,14,36,44,66,60,100,66,53,52,21,63,11,24,19,34,44,94,28,89,42,42,84,92,60,41,51,23,69,37,37,47,55,32,37,40,51,50,59,60,48,52,44,35,26,43,32,71,36,26,26,73,57,55,74,65,37,46,43,63,94,44,57,82,2078
2009-10-19,2009-10-25,70,51,100,88,29,54,39,55,57,86,82,48,47,14,20,84,53,94,93,70,99,47,96,38,59,55,94,100,100,87,98,48,100,97,96,78,81,67,100,70,60,71,51,58,57,46,70,58,49,19,12,44,47,46,52,86,82,58,43,61,87,36,62,32,67,31,17,39,30,60,50,93,69,69,71,51,70,11,45,28,36,68,100,37,99,51,48,100,100,95,46,68,30,77,83,51,50,51,40,43,51,59,50,67,62,52,55,59,44,42,55,38,95,35,36,34,89,58,53,89,56,53,78,35,62,100,57,64,54,2862
2009-10-26,2009-11-01,53,52,96,44,30,55,44,53,68,69,73,50,46,14,20,65,56,91,98,65,99,46,100,36,62,53,100,97,91,100,100,50,100,100,100,57,80,72,86,70,59,48,57,50,68,73,43,61,64,19,11,41,41,44,40,69,73,47,36,50,81,37,62,32,72,32,20,39,33,80,65,99,77,55,70,39,53,12,15,17,37,46,77,34,97,49,40,88,94,84,44,48,27,73,45,58,44,55,49,31,48,58,57,63,59,52,56,65,41,35,57,39,76,38,36,33,81,71,68,100,81,44,81,55,66,77,50,59,77,2926
2009-11-02,2009-11-08,43,48,88,58,30,54,48,56,56,87,71,37,39,12,11,59,47,89,70,59,65,39,83,35,58,56,84,73,71,70,79,37,90,74,83,66,69,60,71,51,43,42,37,48,55,53,49,45,62,16,7,33,32,41,33,87,71,47,44,57,68,35,51,27,60,26,14,36,46,47,55,85,63,45,34,29,43,8,18,13,33,37,63,29,90,46,24,90,94,87,31,47,30,75,53,34,39,48,21,23,50,40,42,67,64,52,56,59,31,35,56,31,74,40,27,25,69,49,52,68,53,41,53,46,73,63,58,64,72,2414
2009-11-09,2009-11-15,35,31,79,69,17,53,37,43,42,62,56,28,43,9,13,52,40,83,54,53,38,43,66,28,38,44,70,55,53,63,57,29,77,66,66,39,59,43,56,34,29,50,35,35,42,56,39,36,40,8,6,23,19,32,29,62,56,37,25,38,63,26,41,22,43,18,13,29,32,34,24,67,53,29,28,33,35,4,21,11,21,46,46,20,99,33,29,72,78,70,37,36,24,68,25,46,41,45,18,26,48,30,26,66,63,52,54,59,23,28,50,22,62,42,20,19,80,31,31,28,32,31,38,57,54,46,53,61,43,1908
2009-11-16,2009-11-22,23,46,74,51,19,48,32,36,35,44,45,23,31,5,5,27,28,68,41,55,27,31,44,20,33,36,58,34,38,30,43,23,51,48,44,41,45,31,40,27,23,36,25,23,35,45,25,26,29,8,5,17,16,17,21,44,45,22,22,23,51,26,35,19,31,16,11,16,19,26,19,68,37,15,18,10,23,10,12,8,16,22,25,15,85,21,18,62,70,53,18,20,16,69,26,42,42,23,10,14,44,22,20,69,64,47,51,58,16,16,42,16,48,33,14,14,60,23,17,34,30,17,33,45,70,25,59,56,40,1344
